種別,地域階層,地域,和暦（年度）,西暦（年度）,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／０歳児（人）,在園者数／０歳児／男（人）,在園者数／０歳児／女（人）,在園者数／１歳児（人）,在園者数／１歳児／男（人）,在園者数／１歳児／女（人）,在園者数／２歳児（人）,在園者数／２歳児／男（人）,在園者数／２歳児／女（人）,在園者数／３歳児（人）,在園者数／３歳児／男（人）,在園者数／３歳児／女（人）,在園者数／３歳児／０～２歳児入園（人）,在園者数／３歳児／本年度入園／令和2年4月2日～令和2年5月1日生まれ（人）,在園者数／３歳児／本年度入園／平成31年4月2日～令和2年4月1日生まれ（人）,在園者数／３歳児／前年度間入園（人）,在園者数／４歳児（人）,在園者数／４歳児／男（人）,在園者数／４歳児／女（人）,在園者数／４歳児／０～２歳児入園（人）,在園者数／４歳児／３歳児入園（人）,在園者数／４歳児／４歳児入園（本年度入園）（人）,在園者数／５歳児（人）,在園者数／５歳児／男（人）,在園者数／５歳児／女（人）,在園者数／５歳児／０～２歳児入園（人）,在園者数／５歳児／３歳児入園（人）,在園者数／５歳児／４歳児入園（人）,在園者数／５歳児／５歳児入園（本年度入園）（人）,修了者数(令和5年3月)（人）,修了者数(令和5年3月)／男（人）,修了者数(令和5年3月)／女（人）
総数（公・私立）,0,総数,平成30,2018,5812,2949,2863,185,93,92,456,233,223,525,273,252,1495,758,737,388,30,1064,13,1626,818,808,320,922,384,1525,774,751,254,712,331,228,1375,677,698
総数（公・私立）,0,総数,令和元,2019,6043,3141,2902,198,107,91,487,250,237,573,296,277,1542,822,720,473,4,981,84,1618,837,781,421,1027,170,1625,829,796,343,943,307,32,1537,766,771
総数（公・私立）,0,総数,令和2,2020,6218,3207,3011,192,105,87,508,254,254,596,309,287,1565,789,776,532,6,974,53,1717,908,809,504,985,228,1640,842,798,466,916,205,53,1614,820,794
総数（公・私立）,0,総数,令和3,2021,6949,3535,3414,230,121,109,599,317,282,699,339,360,1695,847,848,617,23,981,74,1817,889,928,528,996,293,1909,1022,887,488,960,274,187,1649,848,801
総数（公・私立）,0,総数,令和4,2022,7367,3703,3664,270,146,124,668,375,293,807,405,402,1801,863,938,677,13,989,122,1865,941,924,636,1041,188,1956,973,983,648,1002,213,93,1882,995,887
総数（公・私立）,0,総数,令和5,2023,8709,4445,4264,323,159,164,845,458,387,978,509,469,2121,1066,1055,767,28,1222,104,2210,1118,1092,813,1001,396,2232,1135,1097,738,998,210,286,1982,983,999
総数（公・私立）,1,区部,令和5,2023,4535,2313,2222,158,85,73,370,207,163,440,224,216,1127,570,557,372,16,706,33,1192,604,588,368,675,149,1248,623,625,330,678,157,83,1194,582,612
総数（公・私立）,2,千代田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中央区,令和5,2023,117,59,58,－,－,－,12,6,6,15,7,8,30,14,16,12,－,15,3,30,16,14,14,16,－,30,16,14,－,30,－,－,30,13,17
総数（公・私立）,2,港区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,新宿区,令和5,2023,429,242,187,22,13,9,56,33,23,58,30,28,81,45,36,47,3,12,19,97,55,42,50,16,31,115,66,49,44,15,54,2,114,55,59
総数（公・私立）,2,文京区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,台東区,令和5,2023,101,52,49,－,－,－,12,6,6,13,7,6,25,11,14,15,－,10,－,29,16,13,15,13,1,22,12,10,14,7,1,－,34,13,21
総数（公・私立）,2,墨田区,令和5,2023,487,250,237,40,22,18,69,43,26,85,46,39,92,45,47,79,3,5,5,99,45,54,83,12,4,102,49,53,86,7,7,2,97,55,42
総数（公・私立）,2,江東区,令和5,2023,874,400,474,24,11,13,42,24,18,44,20,24,250,112,138,42,4,204,－,244,106,138,40,196,8,270,127,143,33,210,20,7,265,122,143
総数（公・私立）,2,品川区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,目黒区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,大田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,世田谷区,令和5,2023,894,451,443,31,14,17,70,34,36,83,46,37,233,135,98,69,－,164,－,239,115,124,58,170,11,238,107,131,60,147,26,5,225,108,117
総数（公・私立）,2,渋谷区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
