（輸出）,,,,,,,,,(単位：トン）
,,平成31年(2019年),,,0,,,"平成30年
(2018年)",増減
,,計,前年比,構成比,主要品目,,,,
総計,,"12,734,557",95.8%,100%,,,,"13,288,658","-554,101 "
1,アメリカ,"3,073,753",108.2%,24.1%,自動車部品,産業機械,電気機械,"2,841,018","232,735 "
2,中国,"3,000,110",81.8%,23.6%,再利用資材,その他化学工業品,産業機械,"3,665,569","-665,459 "
,(香港),"426,006",88.1%,3.3%,その他化学工業品,製造食品,電気機械,"483,528","-57,522 "
3,ベトナム,"1,115,073",148.2%,8.8%,再利用資材,金属くず,産業機械,"752,394","362,679 "
4,タイ,"810,604",90.2%,6.4%,自動車部品,再利用資材,その他化学工業品,"899,159","-88,555 "
5,台湾,"642,677",90.1%,5.0%,再利用資材,その他化学工業品,金属くず,"713,238","-70,561 "
6,韓国,"636,984",95.6%,5.0%,金属くず,再利用資材,その他化学工業品,"666,172","-29,188 "
7,オランダ,"494,346",89.0%,3.9%,産業機械,その他化学工業品,ゴム製品,"555,357","-61,011 "
8,マレーシア,"424,171",80.7%,3.3%,その他化学工業品,衣服・身廻品・はきもの,自動車部品,"525,563","-101,392 "
9,インドネシア,"409,037",94.4%,3.2%,再利用資材,自動車部品,産業機械,"433,094","-24,057 "
10,インド,"361,374",101.4%,2.8%,その他化学工業品,産業機械,鋼材,"356,363","5,011 "
11,ドイツ,"240,284",97.3%,1.9%,産業機械,電気機械,測量・光学・医療用機械,"246,914","-6,630 "
12,フィリピン,"234,510",91.0%,1.8%,金属製品,衣服・身廻品・はきもの,産業機械,"257,681","-23,171 "
13,シンガポール,"225,101",93.2%,1.8%,産業機械,その他化学工業品,電気機械,"241,399","-16,298 "
14,イギリス,"147,959",87.7%,1.2%,自動車部品,電気機械,産業機械,"168,711","-20,752 "
15,カナダ,"129,870",89.1%,1.0%,産業機械,自動車部品,その他化学工業品,"145,826","-15,956 "
16,ロシア,"96,524",107.1%,0.8%,その他製造工業品,ゴム製品,産業機械,"90,131","6,393 "
17,バングラディシュ,"81,581",247.6%,0.6%,金属くず,鋼材,紙・パ　ル　プ,"32,953","48,628 "
18,ブラジル,"69,620",96.8%,0.5%,自動車部品,産業機械,電気機械,"71,954","-2,334 "
19,アラブ首長国,"67,025",101.6%,0.5%,産業機械,自動車部品,ゴム製品,"65,972","1,053 "
20,フランス,"57,940",84.3%,0.5%,産業機械,その他化学工業品,ゴム製品,"68,708","-10,768 "
,その他,"416,014",84.8%,3.3%,,,,"490,482","-74,468 "
,,,,,,,,,
（輸入）,,,,,,,,,(単位：トン）
,,平成31年(2019年),,,0,,,"平成30年
(2018年)",増減
,,計,前年比,構成比,主要品目,,,,
総計,,"35,759,462",97.9%,100%,,,,"36,537,137","-777,675 "
1,中国,"15,029,274",97.5%,42.0%,衣服・身廻品・はきもの,電気機械,家具装備品,"15,413,935","-384,661 "
,(香港),"1,582,569",82.6%,4.4%,電気機械,衣服・身廻品・はきもの,がん具,"1,916,136","-333,567 "
2,アメリカ,"3,948,094",91.3%,11.0%,動植物性製造飼肥料,その他畜産品,製造食品,"4,323,326","-375,232 "
3,タイ,"2,268,291",93.2%,6.3%,製造食品,電気機械,その他化学工業品,"2,432,799","-164,508 "
4,ベトナム,"2,203,295",109.4%,6.2%,衣服・身廻品・はきもの,家具装備品,輸送用容器,"2,014,669","188,626 "
5,台湾,"1,595,400",109.0%,4.5%,その他化学工業品,家具装備品,金属製品,"1,463,488","131,912 "
6,韓国,"1,394,459",98.5%,3.9%,その他化学工業品,製造食品,産業機械,"1,415,963","-21,504 "
7,カナダ,"1,357,693",90.4%,3.8%,製材,その他畜産品,動植物性製造飼肥料,"1,501,255","-143,562 "
8,シンガポール,"1,187,394",106.4%,3.3%,衣服・身廻品・はきもの,製造食品,その他化学工業品,"1,115,891","71,503 "
9,フィリピン,"1,121,437",94.3%,3.1%,野菜・果物,木製品,電気機械,"1,189,253","-67,816 "
10,マレーシア,"1,034,984",110.9%,2.9%,その他化学工業品,電気機械,家具装備品,"933,421","101,563 "
11,インドネシア,"889,899",101.4%,2.5%,衣服・身廻品・はきもの,木製品,産業機械,"877,632","12,267 "
12,ドイツ,"554,245",96.7%,1.5%,産業機械,自動車部品,製材,"573,436","-19,191 "
13,オランダ,"484,866",94.4%,1.4%,その他化学工業品,製造食品,飲料,"513,695","-28,829 "
14,フランス,"327,399",101.5%,0.9%,飲料,製造食品,その他化学工業品,"322,687","4,712 "
15,ニュージーランド,"300,034",96.2%,0.8%,野菜・果物,製造食品,製材,"311,867","-11,833 "
16,チリ,"287,177",77.2%,0.8%,水産品,飲料,野菜・果物,"371,818","-84,641 "
17,イタリア,"182,567",107.6%,0.5%,製造食品,飲料,家具装備品,"169,654","12,913 "
18,イギリス,"164,508",98.5%,0.5%,飲料,その他化学工業品,製造食品,"166,945","-2,437 "
19,メキシコ,"135,067",73.9%,0.4%,野菜・果物,その他畜産品,その他化学工業品,"182,861","-47,794 "
20,ブラジル,"131,014",127.0%,0.4%,その他畜産品,その他化学工業品,製造食品,"103,146","27,868 "
,その他,"1,162,365",102.0%,3.3%,,,,"1,139,396","22,969 "
