,,,,,,,,,(単位：トン),
,,移  出  貨  物,,,,,移  入  貨  物,,,
順位,品   種,貨物量,構成比,前年比増－減,順位,品   種,貨物量,構成比,前年比増－減,
,合計,"1,595,660",100.0%,"-162,040",,合計,"1,297,006",100.0%,"78,348",
1,取合せ品,"654,338",41.0%,"-28,511",1,取合せ品,"736,459",56.8%,"114,486",
2,飲料,"106,212",6.7%,"-10,386",2,輸送用容器,"114,980",8.9%,"7,531",
3,製造食品,"104,105",6.5%,"-6,988",3,紙・パ　ル　プ,"111,419",8.6%,"3,380",
4,その他日用品,"65,584",4.1%,"1,656",4,砂糖,"48,751",3.8%,"4,655",
5,動植物性製造飼肥料,"54,140",3.4%,"-1,803",5,野菜・果物,"33,817",2.6%,-164,
6,その他食料工業品,"53,185",3.3%,"22,805",6,飲料,"32,357",2.5%,"-4,515",
7,野菜・果物,"51,786",3.2%,"-2,557",7,製造食品,"26,852",2.1%,46,
8,製材,"46,893",2.9%,"-6,367",8,自動車部品,"21,463",1.7%,"-26,873",
9,事務用機器,"42,593",2.7%,"-16,606",9,水産品,"20,969",1.6%,"8,643",
10,化学薬品,"39,319",2.5%,"-4,237",10,その他化学工業品,"17,392",1.3%,-612,
,その他,"377,505",23.7%,"-109,046",,その他,"132,547",10.2%,"-28,229",
