地域階層,地域コード,国・地域(人),総数,男,女,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バハレーン,ブータン,バングラデシュ,ブルネイ,カンボディア,スリ・ランカ,中国,サイプラス,インド,インドネシア,イラン,イラク,イスラエル,ジョルダン,韓国・朝鮮,クウェイト,ラオス,レバノン,マレイシア,モンゴル,オマーン,モルディヴ,ネパール,パキスタン,フィリピン,カタル,サウディ・アラビア,シリア,シンガポール,タイ,トルコ,ヴィエトナム,イエメン,ビルマ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェッコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルグ,ラトヴィア,リトアニア,マルタ,モルドヴァ,マケドニア,オランダ,ノールウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サン・マリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,グルジア,スロヴェニア,スロヴァキア,ボスニア・ヘルツェゴヴィナ,ユーゴースラヴィア連邦共和国,チェッコ・スロヴァキア,モナコ,ソヴィエト連邦,アフリカ,アルジェリア,ブルンディ,ボツワナ,カメルーン,中央アフリカ,チャード,コンゴー,コンゴー民主共和国,ベナン,ジブティ,エティオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,象牙海岸共和国,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシァス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラ・レオーネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セイシェル,タンザニア,トーゴー,テュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナ・ファソ,ザンビア,ジンバブエ,アンゴラ,ザイール,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタ・リカ,キューバ,ドミニカ共和国,ドミニカ,エル・サルヴァドル,グｱテマラ,ハイティ,ホンデュラス,ジャマイカ,メキシコ,ニカラグｱ,パナマ,セント・ルシア,セント・ヴィンセント,セント・クリストファー・ネイヴィース,トリニダッド・トバゴ,米国,グレナダ,南米,アルゼンティン,ボリヴィア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグｱイ,ペルー,スリナム,ウルグｱイ,ヴェネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュー・ジーランド,ナウル,パプア・ニューギニア,パラオ,ソロモン,トンガ,トゥヴァル,サモア,無国籍
0,13000,東京都総数,306154,148100,158054,248994,35,4,3716,2,9,2218,4,135,912,94045,8,3555,2298,1497,30,433,33,99409,14,172,25,3429,285,6,5,1381,1697,25970,1,67,47,991,4815,335,1406,4,1,20230,5,280,247,107,45,19,56,240,9,313,3394,2059,66,134,21,415,737,2,16,1,6,6,49,12,4,9,368,92,180,137,530,1211,-,451,639,412,1,1,7511,219,78,23,4,4,1,8,12,44,4,35,3,1,9,2766,35,3,2,45,1,2,3,46,7,2,89,1,5,625,132,6,27,86,8,5,47,10,33,1,78,5,17,-,-,666,1,1,68,34,-,32,1,-,3,67,7,81,142,105,200,2,15,16,2,2,21368,50,89,3,2856,38,41,67,11,17,19,5,57,33,333,12,9,-,2,-,8,17715,3,8286,288,112,4823,114,717,23,-,93,2035,5,18,58,4246,3344,45,1,3,1,795,-,17,4,5,19,-,12,264
1,13100,区部,256006,124527,131479,209260,12,2,3599,1,7,1901,4,100,655,80394,7,3209,1818,1161,9,410,22,83307,14,95,21,3044,213,5,4,1211,1491,20424,1,58,33,879,3861,277,1007,3,1,18163,4,239,232,82,42,16,45,221,8,287,3189,1864,58,84,20,385,667,-,14,1,5,5,46,9,3,7,329,83,133,116,469,995,-,407,601,384,1,1,6759,188,46,17,3,2,1,4,11,38,4,31,2,1,4,2191,24,3,2,43,1,2,2,36,6,2,80,-,3,465,112,5,21,64,8,3,45,7,28,1,52,4,15,-,-,540,1,1,55,17,-,28,1,-,2,47,7,69,136,92,129,2,12,15,1,2,17870,48,87,3,2400,29,29,54,10,13,18,5,46,31,276,7,8,-,1,-,6,14796,3,4650,202,77,2871,91,591,16,-,64,670,5,17,46,3657,2922,24,-,1,-,672,-,13,3,4,12,-,6,215
2,13101,千代田区,1578,910,668,932,-,-,6,-,-,1,-,1,-,367,-,47,4,1,-,2,-,359,-,-,-,10,7,-,-,15,4,60,-,1,-,12,18,1,16,-,-,362,-,4,4,-,-,-,1,4,-,3,143,24,1,-,-,5,15,-,-,-,1,-,-,-,-,-,4,1,1,1,10,5,-,25,10,4,-,-,93,-,-,-,-,-,-,-,1,-,-,2,-,-,-,15,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,2,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,3,4,-,-,-,-,-,216,-,-,-,21,-,-,3,-,-,1,-,-,1,4,-,1,-,-,-,-,185,-,24,4,-,7,2,6,-,-,-,3,-,-,2,22,20,-,-,-,-,2,-,-,-,-,-,-,-,7
2,13102,中央区,1829,1022,807,1395,2,-,8,-,2,10,-,-,2,584,-,28,11,18,-,-,-,577,-,3,-,24,-,-,-,3,3,70,-,-,-,17,31,1,1,-,-,191,-,4,3,-,-,-,-,4,-,8,24,26,-,1,1,3,8,-,1,-,-,-,-,-,-,-,4,1,1,-,1,11,-,1,7,4,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,162,-,-,-,17,-,2,-,-,-,-,-,1,-,7,-,-,-,-,-,-,135,-,18,3,-,7,-,4,1,-,-,3,-,-,-,55,44,-,-,-,-,11,-,-,-,-,-,-,-,2
2,13103,港区,15701,8290,7411,6545,1,-,21,1,-,48,1,14,54,1771,-,361,82,108,-,89,-,2570,9,2,4,82,2,,,31,86,859,1,30,2,125,138,31,22,-,-,3252,-,31,36,8,7,4,13,48,1,48,519,218,7,14,6,85,141,-,2,-,1,1,-,-,-,-,51,20,11,15,18,185,-,45,136,77,-,-,1438,36,4,2,1,1,1,3,-,6,-,11,-,-,1,103,2,-,-,1,-,1,1,-,-,-,7,-,-,15,-,-,-,1,-,-,1,-,-,-,6,-,2,-,-,8,-,-,5,1,-,3,-,-,-,1,-,9,-,24,14,-,-,1,-,-,4629,1,-,1,372,-,1,3,-,2,-,-,2,3,27,-,2,-,-,-,1,4212,2,314,21,-,217,4,32,-,-,1,28,-,3,8,853,717,-,-,-,-,135,-,-,1,-,-,-,-,5
2,13104,新宿区,24149,11687,12462,20777,-,-,764,-,-,67,-,5,18,7607,-,118,392,36,1,24,-,9462,3,14,3,739,8,-,-,71,43,838,-,6,1,59,460,8,30,-,-,1719,-,7,25,1,12,-,-,10,-,7,758,83,5,2,1,17,49,-,1,-,1,2,1,-,-,-,27,6,17,12,54,66,-,47,27,27,-,-,419,20,10,-,-,-,-,-,-,1,-,2,-,-,2,79,2,-,-,-,-,-,-,2,1,-,2,-,-,13,3,1,1,1,-,-,-,-,3,-,6,-,1,-,-,14,-,-,3,1,-,1,-,-,-,8,-,8,1,1,3,1,1,1,-,-,991,-,-,2,210,3,-,8,-,-,-,-,3,1,20,-,1,-,-,-,-,743,-,337,19,3,155,10,106,-,-,3,35,-,2,4,225,172,3,-,-,-,50,-,-,-,-,-,-,-,21
2,13105,文京区,5839,2974,2865,4917,-,-,72,-,-,30,-,1,10,1966,-,109,32,18,-,2,-,2162,-,-,1,79,4,-,-,12,24,230,-,1,3,16,108,2,34,1,-,436,1,8,8,7,-,-,3,3,-,6,157,44,-,4,-,8,16,-,-,-,1,-,1,-,-,-,4,1,3,6,9,23,-,7,12,6,-,-,93,3,2,-,-,-,-,-,-,-,-,-,-,-,-,37,3,-,-,-,-,-,-,1,-,-,2,-,-,3,1,-,2,2,-,-,-,-,1,-,-,-,1,-,-,3,-,1,1,-,-,-,-,-,-,1,-,-,-,1,9,-,3,2,-,-,305,2,-,-,47,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,252,-,76,5,2,44,-,12,1,-,3,5,-,-,4,64,45,-,-,-,-,19,-,-,-,-,-,-,-,4
2,13106,台東区,8083,3657,4426,7556,-,-,29,-,-,30,-,-,21,1868,-,239,15,18,-,2,1,4139,-,3,1,33,3,-,-,11,20,969,-,-,2,9,114,1,28,-,-,217,-,4,-,-,-,-,-,1,-,5,26,14,-,-,-,4,3,-,1,-,-,-,-,-,-,-,3,-,3,3,20,20,-,4,1,4,-,-,83,6,2,-,-,-,-,-,-,10,-,-,-,-,-,17,-,-,-,-,-,-,-,1,-,-,5,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,160,-,-,-,31,-,1,5,-,-,-,-,1,1,3,-,-,-,-,-,-,118,-,93,3,-,64,1,14,1,-,-,10,-,-,-,37,28,-,-,-,-,9,-,-,-,-,-,-,-,3
2,13107,墨田区,6384,2489,3895,5835,-,-,32,-,-,92,-,1,27,2020,-,20,11,31,-,3,-,2122,-,-,-,32,20,-,-,7,45,1068,-,-,-,15,277,6,6,-,-,308,-,1,3,-,2,-,1,1,-,-,9,5,2,-,-,2,2,-,-,-,-,-,9,-,-,-,7,-,1,4,61,122,-,5,-,2,-,-,56,13,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-,-,-,3,-,-,-,-,-,-,1,-,-,12,1,-,-,-,2,-,1,-,1,-,1,-,-,-,-,32,-,-,2,-,-,-,-,-,-,-,-,1,27,-,1,-,-,-,-,-,80,-,1,-,12,-,-,-,-,-,1,-,1,-,1,1,-,-,-,-,-,63,-,65,2,1,42,-,6,-,-,-,14,-,-,-,10,8,-,-,-,-,1,-,-,-,-,1,-,-,1
2,13108,江東区,10265,4360,5905,9481,1,-,37,-,-,32,-,-,6,3936,-,159,35,31,-,-,1,3772,-,1,1,34,7,-,1,23,23,1137,-,-,1,25,195,2,21,-,-,290,-,1,6,-,4,-,-,3,-,1,30,13,1,-,-,5,11,-,-,-,-,1,11,-,-,-,2,-,-,-,42,46,-,10,4,6,1,-,56,24,-,-,-,-,-,-,-,12,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,2,-,-,1,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,186,1,3,-,30,4,-,-,-,2,1,-,1,1,3,-,1,-,-,-,1,138,-,222,5,4,138,7,18,1,-,5,44,-,-,-,56,45,-,-,-,-,11,-,-,-,-,-,-,-,8
