市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
132217,0000000001,東京都,清瀬市,市民体育館,シミンタイイクカン,,1110a,東京都清瀬市下宿2-524-1,,35.797491,139.533321,042-493-4033,,,,火水木金土日,9:00,22:00,年末年始、休館日等を除く,,車いす貸出有,https://kiyose-sports.com,
132217,0000000003,東京都,清瀬市,下宿運動公園,シタジュクウンドウコウエン,,1106a,東京都清瀬市下宿2-524-1,,35.797491,139.533321,042-493-4033,,,,月火水木金土日,9:00,17:00,"夏季延長5月中旬～8月中旬   終了時間19:00
早朝区分4/1~10/31開始時間7:00",,,https://kiyose-sports.com,
132217,0000000004,東京都,清瀬市,下宿第二運動公園野球場,シタジュクダイニウンドウコウエンヤキュウジョウ,,1106a,東京都清瀬市下宿2-579-4,,35.798779,139.53691,042-493-4033,,,,月火水木金土日,9:00,17:00,"夏季延長5月中旬～8月中旬   終了時間19:00 
早朝区分4/1~10/31開始時間7:00",,,https://kiyose-sports.com,
132217,0000000005,東京都,清瀬市,清瀬内山運動公園(野球),キヨセウチヤマウンドウコウエン（ヤキュウ）,,1103a,東京都清瀬市下宿3-1375,,35.804607,139.542479,042-493-4033,,,,月火水木金土日,9:00,17:00,"夏季延長5月中旬～8月中旬   終了時間19:00
早朝区分4/1~10/31開始時間7:00",,,https://kiyose-sports.com,
132217,0000000006,東京都,清瀬市,清瀬内山運動公園(サッカー),キヨセウチヤマウンドウコウエン,,1104a,東京都清瀬市下宿3-1375,,35.804607,139.542479,042-493-4033,,,,月火水木金土日,7:00,21:00,,,二階入り口スローブ有,https://kiyose-sports.com,
132217,0000000007,東京都,清瀬市,清瀬内山運動公園(テニス),キヨセウチヤマウンドウコウエン,,1116a,東京都清瀬市下宿3-1375,,35.804607,139.542479,042-493-4033,,,,月火水木金土日,9:00,17:00,"夏季延長5月中旬～8月中旬の土日祝のみ終了時間19:00
早朝区分7/1~9/30の土日祝のみ開始時間7:00     ",,,https://kiyose-sports.com,
132217,0000000008,東京都,清瀬市,下宿市民プール,シタジュクシミンプール,,1107a,東京都清瀬市下宿2-559-1,,35.799471,139.535219,042-493-8668,,,,月火水木金土日,9:30,16:30,土日祝9:30~17:00,,,https://kiyose-sports.com,
132217,0000000009,東京都,清瀬市,下清戸運動公園テニスコート,シモキヨトウンドウコウエンテニスコート,,1116a,東京都清瀬市下清戸3-68-1,,35.782535,139.542002,042-493-4033,,,,月火水木金土日,9:00,17:00,夏季延長5月中旬～8月中旬の土日祝のみ終了時間19:00,,,https://kiyose-sports.com,
132217,0000000010,東京都,清瀬市,中央公園テニスコート,チュウオウコウエンテニスコート,,1116a,東京都清瀬市梅園1-2-7,,35.772938,139.508412,042-493-4033,,,,月火水木金土日,9:00,17:00,夏季延長5月中旬～8月中旬の土日祝のみ終了時間19:00,,,https://kiyose-sports.com,
132217,0000000012,東京都,清瀬市,コミュニティプラザ多目的屋内ひろば,コミュニティプラザタモクテキオクナイヒロバ,,1110a,東京都清瀬市下清戸1-212-4,,35.777916,139.539121,042-495-5100,,,,火水木金土日,9:00,22:00,年末年始、休館日等を除く,,車いす貸出有,http://www.kiyose-civiccenter.net/,
132217,0000000013,東京都,清瀬市,コミュニティプラザ多目的屋外ひろば,コミュニティプラザタモクテキオクガイヒロバ,,1106a,東京都清瀬市下清戸1-212-4,,35.777916,139.539121,042-495-5100,,,,火水木金土日,9:00,22:00,年末年始、休館日等を除く,,車いす貸出有,http://www.kiyose-civiccenter.net/,
132217,0000000014,東京都,清瀬市,コミュニティプラザテニスコート,コミュニティプラザテニスコート,,1116a,東京都清瀬市下清戸1-212-4,,35.777916,139.539121,042-495-5100,,,,火水木金土日,9:00,22:00,年末年始、休館日等を除く,,車いす貸出有,http://www.kiyose-civiccenter.net/,
