 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,682,"11,741,401",381,"9,720,158",301,"2,021,243","3,916,128","3,680,657","882,659","2,797,998","235,471","127,060","108,411"
,95.0%,90.3%,91.4%,88.6%,100.0%,99.8%,92.3%,92.0%,81.4%,95.9%,97.9%,94.4%,102.2%
,"6,175","109,693,258","3,532","90,976,595","2,643","18,716,663","35,065,054","33,071,655","8,216,164","24,855,491","1,993,399","1,155,513","837,886"
,94.5%,94.6%,94.9%,93.9%,93.8%,98.6%,94.7%,94.8%,91.6%,95.9%,92.7%,97.5%,86.7%
品川岸壁,130,"1,561,345",66,"675,557",64,"885,788","309,589","309,589","61,274","248,315",-,-,-
,97.0%,103.8%,91.7%,92.8%,103.2%,114.0%,100.2%,100.9%,116.6%,97.7%,-,-,-
,"1,243","14,574,186",667,"6,689,078",576,"7,885,108","2,817,591","2,817,585","508,504","2,309,081",6,6,-
,99.7%,105.0%,100.6%,100.1%,98.6%,109.5%,92.8%,92.9%,88.1%,94.0%,0.3%,-,-
10号西岸壁,57,"625,912",-,-,57,"625,912","38,181",-,-,-,"38,181","25,107","13,074"
,90.5%,89.4%,-,-,90.5%,89.4%,94.6%,-,-,-,94.6%,88.6%,108.7%
,545,"6,047,147",-,-,545,"6,047,147","344,609",-,-,-,"344,609","228,525","116,084"
,88.3%,89.0%,-,-,88.3%,89.0%,97.3%,-,-,-,97.3%,95.3%,101.5%
青海コンテナふ頭（公共）,107,"1,256,119",69,"1,231,658",38,"24,461","672,525","656,706","131,903","524,803","15,819","10,931","4,888"
,92.2%,85.6%,83.1%,86.1%,115.2%,65.4%,90.2%,90.0%,94.1%,89.0%,98.7%,116.3%,73.8%
,971,"12,139,621",659,"11,895,302",312,"244,319","6,052,947","5,908,639","1,146,591","4,762,048","144,308","108,630","35,678"
,90.2%,89.0%,86.4%,88.9%,99.4%,93.8%,91.2%,91.0%,95.6%,90.0%,97.1%,119.3%,61.9%
青海コンテナふ頭(埠頭㈱),24,"1,077,442",22,"1,075,944",2,"1,498","235,993","233,498","51,640","181,858","2,495","2,495",-
,31.6%,51.0%,31.4%,51.1%,33.3%,19.9%,39.9%,40.4%,37.3%,41.4%,19.2%,19.2%,-
,361,"12,093,681",316,"12,045,451",45,"48,230","3,249,212","3,166,178","694,225","2,471,953","83,034","82,614",420
,57.8%,69.9%,55.1%,69.8%,88.2%,113.1%,64.0%,64.0%,63.7%,64.1%,64.6%,77.5%,1.9%
お台場ライナーふ頭,11,"60,257",-,-,11,"60,257",-,-,-,-,-,-,-
,57.9%,55.9%,-,-,61.1%,80.0%,-,-,-,-,-,-,-
,97,"642,735",2,"65,102",95,"577,633","2,144","2,144",431,"1,713",-,-,-
,59.9%,71.0%,25.0%,25.0%,61.7%,89.6%,12.6%,12.6%,15.1%,12.1%,-,-,-
大井コンテナふ頭,244,"5,675,979",149,"5,567,712",95,"108,267","2,045,473","1,941,148","553,791","1,387,357","104,325","42,731","61,594"
,96.1%,87.1%,88.7%,86.7%,110.5%,114.5%,88.7%,87.8%,77.3%,92.9%,109.0%,107.9%,109.8%
,"2,124","53,511,874","1,383","52,639,339",741,"872,535","18,430,955","17,702,385","5,232,748","12,469,637","728,570","301,341","427,229"
,93.8%,92.8%,94.1%,93.0%,93.3%,84.5%,94.2%,94.4%,90.9%,95.9%,89.3%,96.9%,84.5%
その他,109,"1,484,347",75,"1,169,287",34,"315,060","614,367","539,716","84,051","455,665","74,651","45,796","28,855"
,194.6%,252.9%,326.1%,461.5%,103.0%,94.4%,246.9%,307.9%,227.6%,329.3%,101.6%,103.5%,98.7%
,834,"10,684,014",505,"7,642,323",329,"3,041,691","4,167,596","3,474,724","633,665","2,841,059","692,872","434,397","258,475"
,153.0%,186.7%,208.7%,282.9%,108.6%,100.7%,178.1%,212.1%,183.4%,219.7%,98.8%,99.4%,97.7%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
