 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,741 ","13,447,496 ","15,645 ","125,605,753 ",399 ,"9,902,498 ","3,714 ","93,316,005 ","1,342 ","3,544,998 ","11,931 ","32,289,748 "
公共計,918 ,"4,893,680 ","8,313 ","46,276,298 ",142 ,"1,976,011 ","1,416 ","19,966,651 ",776 ,"2,917,669 ","6,897 ","26,309,647 "
ドルフィン,5 ,"2,982 ",42 ,"24,897 ",-,-,-,-,5 ,"2,982 ",42 ,"24,897 "
芝浦ふ頭,27 ,"98,969 ",254 ,"688,072 ",-,-,-,-,27 ,"98,969 ",254 ,"688,072 "
芝浦物揚場,23 ,"10,312 ",217 ,"99,124 ",-,-,-,-,23 ,"10,312 ",217 ,"99,124 "
日の出ふ頭,8 ,"6,096 ",64 ,"43,298 ",-,-,-,-,8 ,"6,096 ",64 ,"43,298 "
竹芝ふ頭,145 ,"384,777 ","1,267 ","3,279,038 ",-,-,-,-,145 ,"384,777 ","1,267 ","3,279,038 "
品川岸壁,133 ,"1,564,699 ","1,279 ","14,619,993 ",66 ,"675,557 ",667 ,"6,689,078 ",67 ,"889,142 ",612 ,"7,930,915 "
 品川コンテナ,67 ,"651,547 ",672 ,"6,310,746 ",64 ,"648,193 ",636 ,"6,264,939 ",3 ,"3,354 ",36 ,"45,807 "
 品川外貿,2 ,"27,364 ",31 ,"424,139 ",2 ,"27,364 ",31 ,"424,139 ",-,-,-,-
 品川内貿,64 ,"885,788 ",576 ,"7,885,108 ",-,-,-,-,64 ,"885,788 ",576 ,"7,885,108 "
晴海ふ頭,8 ,"13,765 ",22 ,"75,267 ",-,-,1 ,"22,472 ",8 ,"13,765 ",21 ,"52,795 "
月島ふ頭,6 ,"2,160 ",156 ,"47,708 ",-,-,-,-,6 ,"2,160 ",156 ,"47,708 "
漁業基地,1 ,"1,886 ",7 ,"10,502 ",-,-,-,-,1 ,"1,886 ",7 ,"10,502 "
