（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"932,116",85.0%,"8,660,678",92.6%,100.0%
1,中国,"236,380",94.6%,"1,977,099",87.6%,22.8%
,(香港),"35,726",88.9%,"308,420",100.1%,3.6%
2,アメリカ,"204,971",67.7%,"1,860,981",80.7%,21.5%
3,ベトナム,"99,810",142.1%,"1,006,601",143.1%,11.6%
4,タイ,"49,184",80.9%,"565,079",94.4%,6.5%
5,台湾,"61,172",111.5%,"558,385",126.6%,6.4%
6,韓国,"36,408",121.0%,"344,420",69.6%,4.0%
7,オランダ,"34,823",69.5%,"332,010",89.3%,3.8%
8,マレーシア,"25,530",67.9%,"280,756",89.9%,3.2%
9,インドネシア,"18,350",40.1%,"252,090",81.4%,2.9%
10,インド,"41,064",118.1%,"234,334",84.8%,2.7%
11,ドイツ,"19,115",75.2%,"186,291",102.5%,2.2%
12,シンガポール,"15,894",75.7%,"161,985",99.0%,1.9%
13,フィリピン,"14,112",65.5%,"128,002",73.3%,1.5%
14,バングラディシュ,"4,823",147.2%,"114,508",517.2%,1.3%
15,カナダ,"9,198",91.7%,"94,358",96.8%,1.1%
16,イギリス,"11,534",75.3%,"87,099",77.9%,1.0%
17,ロシア,"5,785",101.3%,"58,172",82.1%,0.7%
18,ブラジル,"5,273",88.7%,"45,059",88.7%,0.5%
19,オーストラリア,"4,881",90.5%,"44,114",119.1%,0.5%
20,フランス,"3,337",64.9%,"38,880",90.0%,0.4%
,その他,"30,472",73.1%,"290,455",88.8%,3.4%
,,,,,,
（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,858,658",93.6%,"25,732,307",95.7%,100.0%
1,中国,"1,310,369",104.6%,"10,772,032",96.4%,41.9%
,(香港),"99,681",74.9%,"993,870",82.0%,3.9%
2,アメリカ,"304,022",95.7%,"3,035,941",100.2%,11.8%
3,ベトナム,"177,739",88.6%,"1,572,130",96.6%,6.1%
4,タイ,"149,893",80.5%,"1,553,008",90.3%,6.0%
5,台湾,"128,392",93.9%,"1,149,876",95.3%,4.5%
6,韓国,"111,701",104.8%,"1,044,699",100.6%,4.1%
7,カナダ,"84,610",84.7%,"945,260",89.3%,3.7%
8,シンガポール,"114,821",87.8%,"850,494",94.9%,3.3%
9,マレーシア,"96,578",113.2%,"801,448",104.9%,3.1%
10,フィリピン,"80,689",96.4%,"715,479",85.8%,2.8%
11,インドネシア,"54,672",70.9%,"583,993",87.0%,2.3%
12,オランダ,"41,550",101.8%,"418,546",116.4%,1.6%
13,ドイツ,"37,831",71.9%,"404,105",97.0%,1.6%
14,ニュージーランド,"19,948",77.0%,"229,971",94.6%,0.9%
15,フランス,"21,477",67.6%,"195,930",79.0%,0.8%
16,イタリア,"15,443",78.6%,"155,257",113.9%,0.6%
17,チリ,"1,136",4.8%,"125,593",56.2%,0.5%
18,ブラジル,"8,532",58.4%,"112,492",110.9%,0.4%
19,イギリス,"4,434",28.8%,"94,738",75.3%,0.4%
20,フィンランド,"11,847",196.1%,"88,125",159.5%,0.3%
,その他,"82,974",57.3%,"883,190",92.0%,3.4%
