 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,令和2年(2020年),,,,,,,,,,平成31年(2019年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"6,650,178","3,940,159","830,529","3,109,630","3,811,366","780,654","3,030,712","2,710,019","1,085,612","1,624,407","6,993,483","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227"
,95.1%,102.2%,103.1%,102.0%,102.5%,101.4%,102.8%,86.3%,96.7%,80.5%,,,,,,,,,,
２月　,"6,104,073","3,022,983","1,040,041","1,982,942","2,893,439","999,813","1,893,626","3,081,090","1,269,107","1,811,983","6,882,062","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912"
,88.7%,84.2%,99.8%,77.8%,83.8%,101.0%,76.9%,93.6%,104.4%,87.3%,,,,,,,,,,
３月　,"7,782,185","4,541,152","1,299,536","3,241,616","4,373,358","1,222,404","3,150,954","3,241,033","1,325,295","1,915,738","7,912,306","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721"
,98.4%,108.2%,118.9%,104.5%,107.7%,115.9%,104.9%,87.2%,93.8%,83.2%,,,,,,,,,,
４月　,"6,998,923","4,258,704","1,059,747","3,198,957","4,130,749","1,011,350","3,119,399","2,740,219","1,183,813","1,556,406","7,605,967","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888"
,92.0%,101.4%,90.3%,105.7%,103.3%,89.9%,108.6%,80.5%,93.7%,72.7%,,,,,,,,,,
５月　,"6,048,946","3,758,939","796,159","2,962,780","3,556,227","767,929","2,788,298","2,290,007","957,142","1,332,865","6,869,001","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,054,981","1,159,989","1,894,992"
,88.1%,98.6%,88.0%,101.8%,96.9%,88.4%,99.6%,75.0%,82.5%,70.3%,,,,,,,,,,
６月　,"6,424,056","3,779,524","910,241","2,869,283","3,569,794","837,714","2,732,080","2,644,532","1,175,295","1,469,237","7,513,819","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117"
,85.5%,91.4%,78.3%,96.5%,89.5%,75.6%,94.8%,78.3%,88.9%,71.4%,,,,,,,,,,
７月　,"6,545,982","3,748,633","904,291","2,844,342","3,594,694","844,557","2,750,137","2,797,349","1,200,701","1,596,648","7,921,074","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789"
,82.6%,85.9%,81.7%,87.3%,84.8%,79.2%,86.7%,78.7%,85.6%,74.1%,,,,,,,,,,
８月　,"6,274,771","3,552,117","888,018","2,664,099","3,461,371","869,084","2,592,287","2,722,654","1,081,343","1,641,311","6,984,703","3,936,542","969,714","2,966,828","3,759,829","905,808","2,854,021","3,048,161","1,180,303","1,867,858"
,89.8%,90.2%,91.6%,89.8%,92.1%,95.9%,90.8%,89.3%,91.6%,87.9%,,,,,,,,,,
９月　,"6,661,999","3,790,774","932,116","2,858,658","3,680,657","882,659","2,797,998","2,871,225","1,181,708","1,689,517","7,247,832","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113"
,91.9%,91.3%,85.0%,93.6%,92.0%,81.4%,95.9%,92.7%,96.3%,90.3%,,,,,,,,,,
１０月　,-,-,-,-,-,-,-,-,-,-,"7,199,541","3,988,032","1,071,150","2,916,882","3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,418,059","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,258,417","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"59,491,113","34,392,985","8,660,678","25,732,307","33,071,655","8,216,164","24,855,491","25,098,128","10,460,016","14,638,112","87,806,264","48,494,019","12,734,557","35,759,462","46,663,348","12,154,980","34,508,368","39,312,245","15,054,365","24,257,880"
,90.2%,94.9%,92.6%,95.7%,94.8%,91.6%,95.9%,84.5%,92.5%,79.6%,,,,,,,,,,
前年累計,"65,930,247","36,242,074","9,353,963","26,888,111","34,887,351","8,972,394","25,914,957","29,688,173","11,307,556","18,380,617",,,,,,,,,,
増(－)減,"-6,439,134","-1,849,089","-693,285","-1,155,804","-1,815,696","-756,230","-1,059,466","-4,590,045","-847,540","-3,742,505",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
