"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202110","白金台にじいろ歯科クリニック","東京都港区白金台四丁目2番7号","Vert Shirokanedai 1階","03-6450-3086","2021/9/28","歯科、矯正歯科、小児歯科、歯科口腔外科","35.639359","139.728111"
"202110","オーラルデントクリニック","東京都港区新橋六丁目17番17号","御成門センタービル1階","03-6432-4540","2021/10/4","歯科、歯科口腔外科、矯正歯科、小児歯科","35.661398","139.751912"
"202110","ボストン矯正歯科Ｄｒ．Ｋｉｙｏｋｏクリニック","東京都港区西新橋一丁目9番8号","南佐久間町ビル3階","03-6205-4114","2021/10/1","矯正歯科","35.668663","139.752451"
"202110","三穂デンタルクリニック","東京都港区三田三丁目1番14号","M・A21ー1階2階","03-5444-3361","2021/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.647416","139.74425"
"202110","医療法人社団精密審美会　六本木しらゆり歯科","東京都港区六本木七丁目18番8号","第3大栄ビル5階","03-5770-5702","2021/10/10","歯科、矯正歯科、小児歯科、歯科口腔外科","35.662168","139.729201"
"202111","ママとキッズのデンタルクリニック青山","東京都港区北青山三丁目11番7号","AOビル3階","03-6427-2102","2021/11/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.663812","139.710655"
"202111","グランティース白金台歯科","東京都港区白金台四丁目2番11号","白金台クレスト1階","03-5798-2098","2021/11/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.639155","139.727982"
"202111","東京ステラ矯正歯科　表参道","東京都港区南青山三丁目18番19号","東亜バッヂビル5階","03-6549-2139","2021/11/6","矯正歯科、歯科口腔外科、歯科","35.665213","139.712948"
"202111","一般社団法人日本オーラルヘルス協会　ミライズオーラルヘルス南青山","東京都港区南青山六丁目12番10号","ユニティ1階101号室","03-6803-8633","2021/11/15","歯科口腔外科、小児歯科、矯正歯科、歯科","35.660336","139.715360"
"202112","エスト　デンタル　ケア　南青山","東京都港区南青山二丁目11番11号","ARISTO南青山4階","03-6384-5430","2021/12/8","歯科、矯正歯科、歯科口腔外科","35.671299","139.721123"
"202112","片桐歯科医院","東京都港区南青山五丁目13番2号","菊家ビル3階","03-5766-4180","2021/12/1","歯科口腔外科、小児歯科、矯正歯科、歯科","35.661268","139.713886"
"202112","一般社団法人日本オーラルヘルス協会　ミライズクリニック南青山","東京都港区南青山六丁目10番18号","Tri‐Angle南青山1階","03-6450-5915","2021/12/15","歯科、歯科口腔外科、矯正歯科、形成外科、整形外科、皮膚科","35.659636","139.715297"
"202201","フジタデンタルクリニック","東京都港区南青山五丁目13番1号","第42荒井ビル7階","03-6427-3633","2022/1/7","歯科、矯正歯科、歯科口腔外科","35.661306","139.713739"
"202202","新赤坂歯科","東京都港区赤坂四丁目2番5号","赤坂ヤブタビル4階","03-3583-0418","2022/2/1","歯科、矯正歯科、歯科口腔外科","35.675695","139.735645"
"202202","山内歯科医院","東京都港区白金台五丁目13番12号",,"03-3441-6377","2022/2/14","歯科、矯正歯科、小児歯科","35.638073","139.722514"
"202202","ｙｕｋｉ　ＤＥＮＴＡＬ　ｃａｒｅ","東京都港区南麻布五丁目16番8号","el Sur広尾 3階","03-6447-7367","2022/2/1","歯科","35.651144","139.723352"
"202203","医療法人社団　世航会　虎ノ門デンタルオフィス東京","東京都港区虎ノ門一丁目15番12号","日本ガス協会ビル1階","03-6206-7518","2022/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.669110","139.748957"
"202203","ＳＦ六本木東京ｄｅｎｔａｌ　ｏｒｔｈｏｄｏｎｔｉｃｓ","東京都港区六本木三丁目12番5号","STELLA六本木3階","03-3408-8200","2022/3/1","歯科、矯正歯科","35.662842","139.733517"

"歯科診療所開設一覧(令和4年3月31日現在)","Ver202203",,,,,,,
