,2019年,,,,,,,,,2020年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,42952,36967,33359,45064,33615,35818,51881,30584,30065,35921,42103,23627,441956
全施設マップ,9546,7579,6764,6568,6631,6812,22462,6066,5520,6538,7643,4095,96224
都市計画マップ,4318,4602,4864,4716,4239,4690,4825,4518,4169,4499,4780,4983,55203
バリアフリーマップ,4099,4109,4566,4680,4350,4538,4146,4034,3153,4020,3953,1525,47173
指定なし,2995,3053,2934,3942,3729,4115,4182,3123,3466,3876,4049,2649,42113
避難所マップ,2413,2410,2424,2411,2419,2406,2478,2416,2409,2408,2415,2409,29018
環境・公園マップ,2884,3038,1793,1659,1789,2115,1891,1817,1269,1918,3525,1527,25225
指定道路,1940,1926,2081,2085,1891,1992,2109,1795,1664,1681,1809,1803,22776
子ども・子育てマップ,1886,1715,1808,1891,1925,2023,1529,1194,975,1078,1822,715,18561
休日医科・歯科診療マップ,2072,2384,757,846,848,1217,1004,1144,2872,2807,1348,231,17530
集会施設マップ,802,762,763,1037,1077,813,977,800,817,2101,2130,618,12697
体育施設マップ,1644,1783,1086,1083,1294,1318,804,737,542,750,681,535,12257
期日前投票所マップ,3214,20,119,7538,22,9,8,8,2,12,1,1,10954
窓口マップ,768,787,687,983,769,732,519,505,615,738,774,572,8449
学校・社会教育施設マップ,498,530,623,445,513,642,1130,546,566,877,824,437,7631
観光・文化財ガイドマップ,410,471,353,297,476,432,796,611,579,807,945,201,6378
当日投票所マップ,1473,12,38,3011,22,5,18,14,151,13,1465,17,6239
健康福祉施設マップ,511,400,417,506,360,632,395,372,333,405,446,302,5079
健康づくり協力店マップ,446,292,278,271,283,225,210,222,222,427,1953,193,5022
板橋区遺跡分布地図,316,334,371,371,350,361,347,289,312,273,346,294,3964
土のうステーション設置箇所,114,126,124,158,118,222,1175,80,52,57,66,31,2323
その他行政・公共機関マップ,97,66,71,99,81,123,366,87,107,103,197,72,1469
休日調剤薬局マップ,134,113,54,93,52,51,63,78,88,141,187,45,1099
拠点回収,120,155,140,142,154,111,78,2,5,4,30,9,950
通学区域マップ,22,23,12,49,44,62,31,9,16,151,311,216,946
"街灯マップ（1/1,500で利用可）",25,46,32,31,44,49,87,22,50,65,145,50,646
道路工事箇所マップ,29,52,26,27,50,40,69,31,34,68,87,32,545
文化・教養施設マップ,40,29,24,21,23,32,47,27,27,51,84,28,433
AEDマップ,45,30,39,34,23,23,77,16,16,22,25,13,363
ひったくりマップ,63,80,76,48,11,10,19,9,10,4,15,9,354
銭湯マップ,12,19,11,6,11,9,17,5,10,9,17,5,131
消火器一覧マップ,10,13,13,6,8,4,8,3,5,8,15,6,99
災害時帰宅困難者の一時滞在施設マップ,6,6,8,10,8,5,14,1,4,4,14,2,82
TSマーク助成指定対象自転車店舗マップ,0,0,0,0,0,0,0,3,5,6,1,1,16
町会名マップ（ｲﾝﾄﾗ）,0,0,3,0,0,0,0,0,0,0,0,0,3
医療機関マップ,0,0,0,0,1,0,0,0,0,0,0,1,2
環境保全課テスト用,0,1,0,0,0,0,0,0,0,0,0,0,1
防災マップ,0,1,0,0,0,0,0,0,0,0,0,0,1
