,2018年,,,,,,,,,2019年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,41045,39613,35910,35338,33650,35050,40196,35168,33049,41850,35045,44455,450369
全施設マップ,9204,7819,6312,6396,6386,6271,7881,6951,5815,7503,7864,12203,90605
バリアフリーマップ,4985,4402,4244,4536,3937,4283,4562,3883,3508,4023,3854,4636,50853
都市計画マップ,4076,4286,4754,4403,3642,4117,4529,4406,3562,4097,4303,4539,50714
指定なし,2987,2833,3030,3072,2941,2861,3553,3029,3717,4283,2829,4010,39145
環境・公園マップ,4203,4200,3138,2187,2671,2668,3030,2704,1954,2635,2541,2985,34916
避難所マップ,2613,2788,2427,2719,2618,2414,2510,2360,2329,2460,2405,2412,30055
窓口マップ,2790,2662,2261,2179,2405,2116,2308,2214,1549,1502,1174,1260,24420
子ども・子育てマップ,1548,1905,1910,2185,1975,2159,2068,1589,1462,1417,1372,1828,21418
指定道路,1572,1849,1853,1979,1603,1517,1925,1909,1565,1731,1744,2101,21348
集会施設マップ,1531,1166,1242,1342,1227,1282,1354,1241,1398,2856,1596,2077,18312
休日医科・歯科診療マップ,1025,1572,719,1059,774,1277,945,966,2884,4293,1438,787,17739
体育施設マップ,1613,1294,963,987,1239,1401,1398,1217,945,1621,1363,2388,16429
観光・文化財ガイドマップ,704,547,971,407,370,455,547,411,395,877,491,373,6548
健康福祉施設マップ,614,470,435,431,465,442,529,595,505,421,408,507,5822
学校・社会教育施設マップ,309,355,364,293,330,381,934,265,238,551,333,717,5070
板橋区遺跡分布地図,302,393,363,332,289,323,328,353,262,343,321,372,3981
文化・教養施設マップ,218,158,222,189,150,180,114,128,176,223,244,261,2263
その他行政・公共機関マップ,91,89,95,88,86,140,894,77,70,87,76,82,1875
健康づくり協力店マップ,,,,,,151,314,304,230,220,238,274,1731
土のうステーション設置箇所,137,130,111,165,153,218,126,140,100,149,113,131,1673
拠点回収,102,141,144,128,127,109,122,146,127,136,118,127,1527
休日調剤薬局マップ,90,104,45,52,44,64,38,56,93,148,61,30,825
ひったくりマップ,55,114,84,48,74,67,51,61,33,69,58,73,787
街灯マップ（１／１，５００で利用可）,33,118,67,63,44,61,43,75,50,47,27,30,658
ＡＥＤマップ,41,36,36,22,20,26,15,14,14,50,11,43,328
当日投票所マップ,70,71,6,,2,8,9,25,16,16,14,37,274
道路工事箇所マップ,21,24,30,22,20,17,14,12,23,33,19,34,269
通学区域マップ,30,27,35,25,16,13,15,11,10,17,17,17,233
期日前投票所マップ,17,17,3,,1,4,3,6,3,9,4,99,166
銭湯マップ,10,17,20,7,16,10,6,5,8,9,4,5,117
安全・安心まちづくりマップ,19,14,11,8,9,7,10,7,,11,,,96
消火器一覧マップ,25,5,8,4,6,5,16,3,6,9,,5,92
災害時帰宅困難者の一時滞在施設マップ,10,7,7,10,10,3,5,5,2,4,5,12,80
