,2017年,,,,,,,,,2018年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,39682,40374,37712,36238,31457,33358,44602,29996,29928,33967,32753,44264,434331
全施設マップ,10441,8800,8245,7249,6741,6823,7706,5872,5644,6558,6890,13094,94063
バリアフリーマップ,3919,4431,4487,3939,3681,4325,5162,4282,4014,4211,4523,5058,52032
(指定なし),4074,4117,3168,3607,3323,2837,3023,3018,2903,3610,2911,3633,40224
環境・公園マップ,3871,4915,2934,2496,2915,3088,2522,2862,2397,2537,3762,4869,39168
窓口マップ,3728,3432,3561,3325,2916,2910,2375,2254,2097,2234,2313,3076,34221
避難所マップ,2638,2910,2516,3210,2314,2712,2811,2328,2619,2311,2415,3117,31901
集会施設マップ,2561,2413,2705,2701,2248,2261,1602,1429,1505,2324,1376,1760,24885
子ども・子育てマップ,1684,2008,1802,1851,1637,1665,1662,1477,1535,1312,1412,1641,19686
指定道路,1569,1570,1575,1528,1401,1475,1642,1596,1434,1417,1497,1531,18235
体育施設マップ,1316,1288,1086,1040,934,1368,1422,1735,1318,1275,1051,1868,15701
期日前投票所マップ,,9,2081,513,3,18,8090,28,4,,,,10746
休日医科・歯科診療マップ,1090,1582,591,974,864,1041,946,893,2592,3297,1946,987,16803
健康福祉施設マップ,542,506,538,512,487,481,662,560,380,456,499,547,6170
観光・文化財ガイドマップ,552,496,413,410,350,611,647,572,334,986,738,1371,7480
学校・社会教育施設マップ,503,405,560,480,520,622,772,241,241,426,296,617,5683
当日投票所マップ,62,168,302,913,11,136,2522,11,9,,,,4134
板橋区遺跡分布地図,292,350,320,342,306,314,334,256,269,258,335,329,3705
文化・教養施設マップ,220,231,231,233,175,179,201,168,150,184,221,214,2407
その他行政・公共機関マップ,252,245,193,157,190,160,108,63,54,56,87,104,1669
AEDマップ,67,127,101,476,90,38,34,41,38,37,66,38,1153
土のうステーション設置箇所,95,106,84,92,103,85,129,103,102,118,122,103,1242
ひったくりマップ,63,52,86,75,44,35,54,67,113,65,36,33,723
休日調剤薬局マップ,64,128,39,62,60,59,51,32,74,147,97,36,849
拠点回収,6,10,5,2,55,52,61,64,53,60,49,94,511
道路工事箇所マップ,14,21,23,10,23,22,15,11,18,20,18,28,223
通学区域マップ,11,13,21,12,17,17,18,9,9,20,19,14,180
銭湯マップ,12,13,23,11,15,7,12,8,6,23,28,14,172
安全・安心まちづくりマップ,10,15,8,6,12,9,8,10,6,8,18,16,126
災害時帰宅困難者の一時滞在施設マップ,5,5,8,9,16,5,8,2,5,9,16,11,99
消火器一覧マップ,10,8,6,3,6,3,3,4,5,8,12,10,78
"街灯マップ（1/1,500で利用可）",,,,,,,,,,,,51,51
駐輪場・保管所施設マップ,11,,,,,,,,,,,,11
