,2021年,,,,,,,,,2022年,,,
行ラベル,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,総計
総計,28608,25989,48970,45906,46042,32225,35781,27149,23185,31517,51814,36584,433770
新型コロナウイルスワクチン予防接種協力医療機関マップ,,,21578,16726,22057,7095,1746,883,290,8241,13381,5213,97210
都市計画マップ,5771,5593,6433,5509,4935,5866,6140,6092,5268,5255,5661,6441,68964
(指定なし),4317,4482,4390,4458,4405,4343,4457,4564,4351,4434,4064,4412,52677
全施設マップ,6530,3090,3208,2509,2417,2516,2850,2942,2155,2114,2459,3315,36105
バリアフリーマップ,2201,2370,2916,4690,3263,3109,3247,2953,2693,2885,2557,2955,35839
指定道路,2324,2192,2746,2332,2145,2400,2446,2518,2250,2299,2236,2694,28582
東京都PCR検査会場マップ,,,,,,,,,,,15754,4315,20069
環境・公園マップ,1549,1888,984,850,845,1138,1075,1284,771,859,1002,1371,13616
体育施設マップ,932,1091,923,1550,1166,1302,1222,1026,1125,737,549,971,12594
窓口マップ,1148,1295,1259,930,1081,863,799,961,845,821,800,852,11654
当日投票所マップ,110,70,608,2154,67,89,7872,340,26,35,11,35,11417
子ども・子育てマップ,884,730,965,1140,924,1060,1125,973,826,840,766,1010,11243
集会施設マップ,540,536,436,511,518,465,492,491,471,706,596,629,6391
健康福祉施設マップ,498,951,870,642,456,393,413,384,293,338,365,392,5995
観光・文化財ガイドマップ,401,406,436,358,327,402,426,389,369,548,309,477,4848
板橋区遺跡分布地図,338,369,420,413,402,364,368,377,337,306,376,347,4417
休日医科・歯科診療マップ,171,251,123,395,408,231,175,268,692,603,274,236,3827
学校・社会教育施設マップ,228,199,255,273,206,215,275,300,221,223,203,284,2882
健康づくり協力店マップ,395,224,198,233,192,158,120,2,2,,2,19,1545
板橋区観光アプリ「ITA[sanitize]マニア」デジタルスタンプラリー・スタンプ設置施設マップ,1,,,,2,6,300,227,40,67,155,30,828
その他行政・公共機関マップ,62,42,77,45,44,52,63,37,32,65,78,55,652
休日調剤薬局マップ,54,51,30,70,65,45,34,46,57,55,35,46,588
AEDマップ,17,5,8,5,31,22,51,8,11,6,1,378,543
"街灯マップ（1/1,500で利用可）",43,32,9,21,17,30,17,16,13,36,79,13,326
通学区域マップ,1,73,49,4,4,4,6,2,5,2,3,5,158
拠点回収,13,12,11,11,3,12,8,13,13,14,27,9,146
消火器一覧マップ,8,3,4,38,8,2,4,1,6,8,37,22,141
土のうステーション設置箇所,18,8,5,12,16,21,7,10,2,3,8,6,116
文化・教養施設マップ,7,5,11,11,8,8,18,2,2,5,3,11,91
避難所マップ,4,2,6,5,9,3,4,13,6,3,4,11,70
銭湯マップ,5,4,3,2,7,2,4,4,3,2,5,9,50
ひったくりマップ,5,7,2,2,3,,4,5,4,2,8,7,49
道路工事箇所マップ,2,6,1,3,7,5,5,2,2,2,2,5,42
期日前投票所マップ,25,1,3,3,2,,2,,,,,2,38
災害時帰宅困難者の一時滞在施設マップ,2,,2,1,2,4,5,3,3,2,,3,27
板橋のグルメマップ,4,1,1,,,,1,2,,1,3,2,15
医療機関マップ,,,,,,,,11,,,,,11
板橋区健康づくり協力店マップ,,,,,,,,,1,,1,2,4
