地域階層コード,地域コード,全国・都道府県,計（経営体）,１人（経営体）,２（経営体）,３・４（経営体）,５～９（経営体）,10～19（経営体）,20～49（経営体）,50～99（経営体）,100～149（経営体）,150～199（経営体）,200～299（経営体）,300人以上（経営体）
0,0,全国,68148,40343,13588,8077,4512,1178,364,60,23,2,1,-
1,1,北海道,8791,3651,2250,1524,1061,255,41,9,-,-,-,-
1,2,青森県,3287,1401,847,715,283,32,6,-,1,2,-,-
1,3,岩手県,2568,1424,618,348,126,27,18,5,1,-,1,-
1,4,宮城県,2171,934,501,386,244,72,23,9,2,-,-,-
1,5,秋田県,566,427,72,38,23,6,-,-,-,-,-,-
1,6,山形県,249,195,24,22,4,3,1,-,-,-,-,-
1,7,福島県,356,114,132,67,33,3,5,2,-,-,-,-
1,8,茨城県,315,108,105,69,16,3,10,4,-,-,-,-
1,12,千葉県,1557,885,388,204,41,14,23,2,-,-,-,-
1,13,東京都,381,276,61,28,11,3,1,-,1,-,-,-
1,14,神奈川県,886,560,195,73,37,15,3,-,3,-,-,-
1,15,新潟県,1087,838,145,60,29,12,2,1,-,-,-,-
1,16,富山県,223,88,33,29,35,21,15,2,-,-,-,-
1,17,石川県,1027,676,173,101,41,26,8,2,-,-,-,-
1,18,福井県,610,392,88,59,56,11,4,-,-,-,-,-
1,22,静岡県,1877,1235,225,138,193,62,16,5,3,-,-,-
1,23,愛知県,1728,931,472,201,115,7,2,-,-,-,-,-
1,24,三重県,2795,1423,865,329,126,34,14,3,1,-,-,-
1,26,京都府,441,349,49,16,15,8,4,-,-,-,-,-
1,27,大阪府,443,271,102,39,21,7,3,-,-,-,-,-
1,28,兵庫県,2435,1576,305,231,273,47,3,-,-,-,-,-
1,30,和歌山県,1432,1106,181,73,50,13,9,-,-,-,-,-
1,31,鳥取県,450,356,24,25,21,21,1,1,1,-,-,-
1,32,島根県,1245,1032,96,40,44,17,14,2,-,-,-,-
1,33,岡山県,826,548,136,89,53,-,-,-,-,-,-,-
1,34,広島県,1939,1332,277,117,158,50,5,-,-,-,-,-
1,35,山口県,2483,1985,331,98,40,22,7,-,-,-,-,-
1,36,徳島県,1150,776,227,78,61,8,-,-,-,-,-,-
1,37,香川県,1109,735,198,117,56,2,1,-,-,-,-,-
1,38,愛媛県,3168,2036,616,316,159,30,10,-,1,-,-,-
1,39,高知県,1415,1027,134,99,81,51,19,3,1,-,-,-
1,40,福岡県,2193,1158,466,425,124,14,6,-,-,-,-,-
1,41,佐賀県,1491,476,391,492,120,12,-,-,-,-,-,-
1,42,長崎県,5265,3464,1030,437,206,78,42,4,4,-,-,-
1,43,熊本県,2415,1252,596,355,181,27,4,-,-,-,-,-
1,44,大分県,1780,1184,353,132,67,36,7,1,-,-,-,-
1,45,宮崎県,854,532,120,56,76,52,18,-,-,-,-,-
1,46,鹿児島県,2737,1857,347,284,167,57,17,5,3,-,-,-
1,47,沖縄県,2403,1733,415,167,65,20,2,-,1,-,-,-
,,,,,,,,,,,,,,
2018年漁業センサス,,,,,,,,,,,,,,
第４表　全国、都道府県、11月１日現在の海上作業従事者規模別漁業経営体数,,,,,,,,,,,,,,
地域階層コード（0：全国　1：都道府県）,,,,,,,,,,,,,,
