区分階層コード,区分（単位）,総数,個人,団体／計,団体／会社,団体／漁業協同組合,団体／漁業生産組合,団体／共同経営,団体／その他
0,漁業経営体数（経営体）,512,503,9,4,3,-,-,2
0,漁船隻数（隻）,548,534,14,10,4,-,-,-
1,無動力漁船隻数（隻）,-,-,-,-,-,-,-,-
1,船外機付漁船隻数（隻）,119,118,1,-,1,-,-,-
1,動力漁船隻数（隻）,429,416,13,10,3,-,-,-
9,（別掲）動力漁船トン数（ｔ）,5016.9,2723.1,2293.8,2257.3,36.5,-,-,-
0,11月1日現在の海上作業従事者数（人）,756,529,227,191,17,-,-,19
1,家族（人）,362,362,-,-,-,-,-,-
2,男（人）,350,350,-,-,-,-,-,-
2,女（人）,12,12,-,-,-,-,-,-
1,団体経営体の責任のある者（人）,7,-,7,7,-,-,-,-
2,男（人）,7,-,7,7,-,-,-,-
2,女（人）,-,-,-,-,-,-,-,-
1,雇用者（人）,387,167,220,184,17,-,-,19
0,陸上作業最盛期の陸上作業従事者数（人）,807,745,62,29,14,-,-,19
1,家族（人）,522,522,-,-,-,-,-,-
2,男（人）,468,468,-,-,-,-,-,-
2,女（人）,54,54,-,-,-,-,-,-
1,団体経営体の責任のある者（人）,13,-,13,9,2,-,-,2
2,男（人）,13,-,13,9,2,-,-,2
2,女（人）,-,-,-,-,-,-,-,-
1,雇用者（人）,272,223,49,20,12,-,-,17
2,男（人）,182,143,39,19,12,-,-,8
2,女（人）,90,80,10,1,-,-,-,9
,,,,,,,,,
2018年漁業センサス,,,,,,,,,
第１表　経営組織別漁業経営体数、漁船隻数、11月1日現在の海上作業従事者数、陸上作業最盛期の陸上作業従事者数,,,,,,,,,
区分階層コード（0：漁業経営体数・漁船隻数・11月1日現在の海上作業従事者数・陸上作業最盛期の陸上作業従事者数　1：無動力漁船隻数・船外機付漁船隻数・動力漁船隻数・家族・団体経営体の責任のある者・雇用者　2：男・女　9：別掲）,,,,,,,,,
