"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","発生日","旧名称","緯度","経度"
"202204","猿田彦内科びようクリニック","東京都港区港南二丁目6番10号","三矢ビル4階","03-6712-3364","2022/4/1","猿田彦クリニック","35.628782","139.74233"
"202204","日本電気株式会社　ウェルネスプロモーションセンター（本社）","東京都港区芝五丁目7番1号",,"03-3798-6564","2022/4/1","日本電気株式会社本社健康管理センター","35.649428","139.74794"
"202204","パナソニック虎ノ門健康管理室","東京都港区虎ノ門三丁目4番10号","虎ノ門35森ビル2階","03-5404-5206","2022/4/1","パナソニック（株）インダストリアルソリューションズ社虎ノ門","35.665742","139.746642"
"202205","パナソニックエレクトリックワークス東京汐留ビル","東京都港区東新橋一丁目5番1号","15階","03-6218-0061","2022/4/1","パナソニック東京汐留ビル健康管理室","35.665913","139.761919"
"202205","日本たばこ産業株式会社　人事部　健康支援室","東京都港区虎ノ門四丁目1番1号","神谷町トラストタワー27階","03-6636-2914","2022/1/1","日本たばこ産業株式会社　人事サポート室　医務室","35.665016","139.745407"
"202206","ＵＢＥ株式会社東京本部医務室","東京都港区芝浦一丁目2番1号","シーバンスN館","03-5419-6124","2022/4/1","宇部興産株式会社　東京本社医務室","35.649921","139.756897"
"202206","医療法人社団和啓会　ペディ汐留こころとからだのクリニック","東京都港区東新橋一丁目9番1号","東京汐留ビルディング地下2階","03-6274-5074","2022/6/1","医療法人社団和啓会　ペディ汐留クリニック","35.662940","139.761215"
"202207","銀座総合美容クリニック","東京都港区新橋一丁目9番5号","KDX新橋駅前ビル4・5・6階","03-6280-6970","2022/6/21","医療法人社団誠音会　銀座総合美容クリニック","35.667175","139.760057"
"202207","ＴＣＢ　東京中央美容外科　品川院","東京都港区高輪三丁目23番17号","品川センタービルディング2階","03-6277-2631","2022/7/1","東京中央美容外科　品川院","35.630636","139.737022"
"202208","プルージュ美容クリニック","東京都港区港南二丁目4番18号","第2秋山ビル4階","03-6433-2025","2022/8/1","プルージュ美容クリニック品川院","35.628601","139.743847"
"202208","レナトゥスクリニック","東京都港区芝五丁目27番13号","YA三田ビル2階、4階","03-6275-1879","2022/8/1","ＲＥＮＡＴＵＳクリニック","35.646934","139.746302"
"202208","ＣＬＩＮＩＣ　ｂｙ　Ｅ","東京都港区元麻布一丁目2番13号","元麻布ガーデン2階","03-6722-6222","2022/8/20","イークリニック麻布","35.655087","139.734028"
"202211","芝公園もちもち訪問クリニック","東京都港区芝三丁目13番12号","301","050-3150-8580","2022/10/1","芝公園訪問クリニック","35.652527","139.745583"
"202212","芝公園訪問クリニック","東京都港区芝三丁目13番12号","301","050-3150-8580","2022/12/13","芝公園もちもち訪問クリニック","35.652527","139.745583"
"202212","一般社団法人虎ノ門中村クリニック神谷町院","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン103","03-6823-1409","2022/12/1","虎ノ門中村クリニック","35.664775","139.74772"
"202212","麻布訪問クリニック","東京都港区南麻布四丁目5番56号","キャッスル佐藤102号","050-3184-1591","2022/12/13","麻布もちもち訪問クリニック","35.650121","139.724111"
"202301","品川メンタルクリニック　品川本院","東京都港区港南二丁目6番3号","シントミビル3階5階6階","03-6279-0230","2023/1/11","新宿ストレスクリニック　品川本院","35.628695","139.74265"
"202302","ＡＭＴ東京芝クリニック","東京都港区芝公園二丁目10番4号","浜松町ウエストビル5階","03-5422-1178","2023/1/31","ＨＥＬＰＯクリニック","35.654673","139.752565"
"202302","ＪＸ金属株式会社　健康相談室","東京都港区虎ノ門二丁目10番4号","オークラプレステージタワー14階","03-6433-6119","2023/2/7","ＪＸ金属株式会社　健康管理室","35.666911","139.743999"
"202302","イークリニック麻布","東京都港区元麻布一丁目2番13号","元麻布ガーデン2階","03-6722-6222","2023/2/1","ＣＬＩＮＩＣ　ｂｙ　Ｅ","35.655087","139.734028"
"202302","医療法人社団　美翔会　聖心美容クリニック　六本木院","東京都港区六本木六丁目6番9号","ピラミデビル2階205、206、207区画","03-5770-5292","2023/1/10","医療法人社団美翔会聖心美容クリニック東京院","35.661841","139.731554"
"202303","医療法人社団ワンデー新橋美容クリニック","東京都港区新橋一丁目15番地7号","新橋NFビル9階","03-6268-8012","2023/3/15","医療法人社団ワンデー　新橋皮膚科クリニック","35.668089","139.757282"

"診療所名称変更一覧(令和5年3月31日現在)","Ver202303",,,,,,,
