"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202304","赤坂アート歯科","東京都港区赤坂五丁目1番35号","1階","2023/3/31","35.673917","139.736047"
"202304","赤坂さくら歯科クリニック","東京都港区赤坂五丁目4番6号","赤坂三辻ビル5階","2023/3/31","35.672202","139.736034"
"202304","児玉歯科医院","東京都港区赤坂六丁目4番20号",,"2023/3/31","35.670619","139.734816"
"202304","青山外苑矯正歯科","東京都港区北青山二丁目7番22号","H・T神宮外苑ビル4階","2023/4/20","35.670843","139.717058"
"202304","伊皿子おおね歯科医院","東京都港区高輪一丁目5番21号","ルート高輪ビル1階","2023/4/2","35.641024","139.73756"
"202304","けやき坂ゆみ歯科医院","東京都港区西麻布三丁目2番15号","藤田萬年堂ビル2階A号室","2023/4/6","35.659333","139.727583"
"202304","ＲＥＣＬＩＮＩＣ表参道","東京都港区南青山三丁目3番14号","チェリーズガーデン南青山2階","2023/2/28","35.667515","139.716828"
"202304","医療法人悠生会ｆａｍｉｌｙ　ｄｅｎｔｉｓｔｒｙ　ＦＵＫＵＩ　ＤＥＮＴＡＬ　ＯＦＦＩＣＥ．（ファミリーデンティストリーフクイデンタルオフィス）","東京都港区南青山七丁目14番6号","南青山TCビル4階1号室","2023/4/15","35.656733","139.717955"
"202304","医療法人スマイル・クリエイト　ハピュアデンタルクリニック","東京都港区六本木三丁目13番10号","北麻布ビルディング4階","2023/3/31","35.662779","139.733599"
"202305","医療法人社団啓歯会　汐留芝離宮歯科","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング地下1階","2023/5/10","35.656996","139.758739"
"202305","中村歯科クリニック表参道","東京都港区北青山三丁目5番40号","YCビル2 1F","2023/5/31","35.666756","139.711733"
"202305","Ｌｉｎｏ　Ｄｅｎｔａｌ　Ｏｆｆｉｃｅ","東京都港区南青山一丁目26番4号","六本木ダイヤビル2階","2023/4/30","35.666789","139.727303"
"202306","赤坂オーク歯科","東京都港区赤坂三丁目2番7号","サムリンビル2階","2023/6/5","35.675722","139.73768"
"202306","ＮＥＯ　ＤＥＮＴＡＬ","東京都港区芝二丁目6番3号","三宅ビル1階","2023/5/31","35.652891","139.750698"
"202306","富沢歯科医院","東京都港区白金台二丁目11番8号","永昌高輪台ビル4階","2023/5/31","35.632516","139.730637"
"202306","医療法人社団　矢澤歯科医院","東京都港区新橋三丁目2番2号","第1一美ビル3階","2023/5/31","35.666641","139.754747"
"202306","ナカモト歯科クリニック","東京都港区虎ノ門一丁目5番9号","虎ノ門NPビル4階","2023/5/31","35.669252","139.751123"
"202307","パルフェクリニック歯科医科","東京都港区北青山三丁目11番7号","AOビル3階","2023/7/16","35.663812","139.710655"
"202307","アキラ歯科","東京都港区港南二丁目14番10号","品川駅前港南ビル3階","2023/6/30","35.628545","139.742095"
