"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","まちづくり・景観[人]","住宅対策[人]","道路・交通対策[人]","自転車対策[人]","防災・生活安全[人]","公園整備[人]","緑や水辺の整備[人]","ごみ・リサイクル[人]","地球温暖化対策[人]","環境保全・公害対策[人]","たばこ対策[人]","健康づくり[人]","区民参画・区民協働[人]","中小企業支援・商店街振興[人]","観光振興[人]","消費生活対策[人]","国際化・国際交流[人]","子育て支援[人]","学校教育の充実[人]","高齢者福祉[人]","障害者福祉[人]","低所得世帯への支援[人]","スポーツの振興[人]","生涯学習・文化振興[人]","男女平等参画の推進[人]"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","全体",,"658","215","98","132","142","251","91","106","149","135","80","143","90","13","73","46","34","105","158","112","214","58","55","47","53","34"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性（計）","248","98","41","53","65","100","39","39","53","45","24","53","32","3","35","22","13","37","64","35","81","22","16","27","17","11"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 18～29歳","23","9","3","3","7","5","7","3","4","3","3","4","4","0","2","4","1","0","10","8","0","0","1","7","0","1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 30～39歳","35","9","11","8","8","13","8","5","5","2","4","6","6","0","3","4","3","11","17","6","6","3","3","5","2","1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 40～49歳","41","20","9","12","6","17","6","10","8","5","5","8","3","1","6","3","2","10","14","10","6","2","3","6","2","2"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 50～59歳","49","19","5","12","9","26","3","4","14","10","2","14","8","1","10","5","2","8","13","7","17","4","0","5","7","2"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 60～69歳","39","19","3","7","16","21","7","8","7","14","3","9","4","1","7","3","1","5","3","2","18","3","3","2","3","1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 70歳以上","60","22","10","10","18","18","8","9","15","11","7","11","7","0","7","3","4","3","7","1","33","10","6","2","3","4"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","男性 無回答","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。（５つまで選択可）","性・年代別","女性（計）","400","114","55","78","77","149","51","67","93","90","55","88","56","10","38","24","21","68","94","77","127","35","39","19","34","23"
