"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（使ったことがある）[人]","知っているが使ったことはない[人]","知らなかったが使ってみたい[人]","知らないし使ってみたいと思わない[人]","無回答[人]"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","全体",,"658","36","119","379","106","18"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性（計）","248","10","42","134","58","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","4","4","10","5","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","1","7","18","9","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","2","5","24","10","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","0","6","29","14","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","2","9","21","7","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","1","11","31","13","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","1","0","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性（計）","400","26","77","241","46","10"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","1","8","16","3","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","3","9","40","12","1"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","8","24","50","12","1"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","5","18","53","6","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","6","7","36","4","2"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","3","11","46","9","6"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","性・年代別","無回答","10","0","0","4","2","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","6","15","58","9","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","12","40","166","58","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","3","15","32","6","2"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","家事専業","94","6","20","54","11","3"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","学生","20","2","8","9","1","0"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","無職","83","4","16","45","15","3"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","その他","26","3","5","11","6","1"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","職業別","無回答","5","0","0","4","0","1"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","芝地区","107","10","20","62","11","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","麻布地区","140","7","25","82","22","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","赤坂地区","88","4","17","52","13","2"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","高輪地区","155","9","24","85","33","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","6","33","95","27","3"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","居住地区別","無回答","4","0","0","3","0","1"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","4","15","55","17","4"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","19","61","177","42","3"
"202003","やさしい日本語","Q15. 区では、外国人の地域参画と協働を推進するために、地域社会の共通言語となる重要なコミュニケーションツールの一つとして、外国人にもわかりやすく表現された「やさしい日本語」の取組を実施しています。あなたは「やさしい日本語」を知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","1","1","4","1","0"
