"年度[西暦]","区分","胃がん検診 40歳以上の人[人]","子宮頸がん検診 20歳以上の女性[人]","肺がん検診 40歳以上の人[人]","乳がん検診(視触診) 30～39歳の女性[人]","乳がん検診(マンモ検査) 40歳以上の女性[人]","大腸がん検診 40歳以上の人[人]","喉頭がん検診 40歳以上の人[人]","前立腺がん検診 55歳から75歳奇数年齢男性[人]"
"2018","受診者","18920","18942","27987","3536","9546","29112","4456","2750"
"2018","要精密","1273","390","1038","111","987","2040","42","243"
"2018","がんであった人","24","10","12","1","44","61","0","9"
"2019","受診者","18388","18522","28190","3019","8966","29030","4400","2755"
"2019","要精密","1137","377","941","115","910","1977","55","224"
"2019","がんであった人","16","5","14","1","36","50","1","8"
"2020","受診者","15523","16569","25273","2668","8317","25944","2199","2450"
"2020","要精密","1192","330","839","94","845","1745","29","204"
"2020","がんであった人","12","5","7","0","28","25","0","4"
"2021","受診者","17308","18839","28076","2770","9406","28513","2554","2730"
"2021","要精密","1283","343","909","82","944","1625","49","254"
"2021","がんであった人","10","3","8","0","39","38","0","4"
"2022","受診者","15952","18298","27091","2412","9059","27206","2799","2776"

"令和5年度港区行政資料集　がん検診","Ver202303",,,,,,,,
