"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2016","総務費",,"437068"
"2016","保険給付費",,"13788482"
"2016","後期高齢者支援金等",,"3339663"
"2016","前期高齢者納付金等",,"2490"
"2016","老人保健拠出金",,"82"
"2016","介護納付金",,"1535715"
"2016","国民健康保険事業費納付金",,
"2016","共同事業拠出金",,"7095446"
"2016","保健事業費",,"159874"
"2016","諸支出金",,"187996"
"2016","予備費",,"0"
"2016","歳出合計",,"26546816"
"2017","総務費",,"501398"
"2017","保険給付費",,"13674826"
"2017","後期高齢者支援金等",,"3296356"
"2017","前期高齢者納付金等",,"11778"
"2017","老人保健拠出金",,"52"
"2017","介護納付金",,"1509197"
"2017","国民健康保険事業費納付金",,
"2017","共同事業拠出金",,"6905676"
"2017","保健事業費",,"168594"
"2017","諸支出金",,"226040"
"2017","予備費",,"0"
"2017","歳出合計",,"26293918"
"2018","総務費",,"485151"
"2018","保険給付費",,"13339153"
"2018","後期高齢者支援金等",,
"2018","前期高齢者納付金等",,
"2018","老人保健拠出金",,
"2018","介護納付金",,
"2018","国民健康保険事業費納付金",,"9355377"
"2018","共同事業拠出金",,"2"
"2018","保健事業費",,"154727"
"2018","諸支出金",,"446768"
"2018","予備費",,"0"
"2018","歳出合計",,"23781178"
"2019","総務費","678688","509419"
"2019","保険給付費","13662798","13293845"
"2019","後期高齢者支援金等",,
"2019","前期高齢者納付金等",,
"2019","老人保健拠出金",,
"2019","介護納付金",,
"2019","国民健康保険事業費納付金","9418664","9391589"
"2019","共同事業拠出金","2","2"
"2019","保健事業費","182802","151114"
"2019","諸支出金","227926","214452"
"2019","予備費","99024","0"
"2019","歳出合計","24269904","23560421"
"2020","総務費","556343","500057"
"2020","保険給付費","13457261","12575619"
"2020","後期高齢者支援金等",,
"2020","前期高齢者納付金等",,
"2020","老人保健拠出金",,
"2020","介護納付金",,
"2020","国民健康保険事業費納付金","9103761","9103759"
"2020","共同事業拠出金","2","2"
"2020","保健事業費","195893","139303"
"2020","諸支出金","472361","363421"
"2020","予備費","70335","0"
"2020","歳出合計","23855956","22682162"

"令和3年度港区行政資料集　国民健康保険事業会計歳出決算","Ver202103",,
