"全国地方公共団体コード","ID","地方公共団体名","介護サービス事業所名称","介護サービス事業所名称_カナ","介護サービス事業所名称_英字","実施サービス","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","FAX番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","法人の名称","事業所番号","利用可能曜日","利用可能曜日特記事項","定員","URL","画像","画像_ライセンス","備考"
"131083","131083800001","江東区","ももたろうケア","モモタロウケア","","居宅介護支援","131083","","東京都江東区毛利1-9-3 豊徳ビル401","東京都","江東区","毛利1丁目","9-3 豊徳ビル401","","35.69098","139.813247","","","(03)6659-6642","","(03)6659-6718","","","","1350001","","","","月火水木金","利用可能曜日 月～金・祝","","","","",""
"131083","131083800002","江東区","グッドワン","グッドワン","","居宅介護支援","131083","","東京都江東区住吉1-14-11宮本ビル1階","東京都","江東区","住吉1丁目","14-11 宮本ビル1階","","35.688454","139.813568","","","(03)6284-0413","","(03)6659-6344","","","","1350002","","","","月火水木金土","利用可能曜日 月～土・祝","","","","",""
"131083","131083800003","江東区","あそか園居宅介護支援事業所","アソカエンキョタクカイゴシエンジギョウショ","","居宅介護支援","131083","","東京都江東区住吉1-9-5","東京都","江東区","住吉1丁目","9-5","","35.687843","139.812103","","","(03)3632-4705","","(03)3632-3617","","","","1350002","","","","月火水木金土","利用可能曜日 月～土","","","","",""
"131083","131083800004","江東区","思い出ケア","オモイデケア","","居宅介護支援","131083","","東京都江東区住吉2-7-10阿久津ビル2階","東京都","江東区","住吉2丁目","7-10 阿久津ビル2階","","35.688705","139.815613","","","(03)6659-4083","","(03)6659-4084","","","","1350002","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800005","江東区","東京海上日動みずたま介護ステーション江東住吉ケアプランセンター","トウキョウカイジョウニチドウミズタマカイゴステーションコウトウスミヨシケアプランセンター","","居宅介護支援","131083","","東京都江東区猿江1-12-1住吉パークホームズ1階","東京都","江東区","猿江1丁目","12-1 住吉パークホームズ1階","","35.686165","139.812012","","","(03)5625-2109","","(03)5625-2138","","","","1350003","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800006","江東区","合同会社福老ふくろうプランニング","ゴウドウガイシャフクロウフクロウプランニング","","居宅介護支援","131083","","東京都江東区森下2-6-1メゾネット小林202室","東京都","江東区","森下2丁目","6-1 メゾネット小林202室","","35.686329","139.800095","","","(03)6659-3863","","(03)6659-2563","","","","1350004","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800007","江東区","ケアステーションいちばん星","ケアステーションイチバンボシ","","居宅介護支援","131083","","東京都江東区森下2-17-7さくらマンション2A","東京都","江東区","森下2丁目","17-7 さくらマンション2A","","35.687954","139.798935","","","(03)6659-9448","","(03)6659-9458","","","","1350004","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800009","江東区","ケア２１ 森下","ケアニジュウイチモリシタ","","居宅介護支援","131083","","東京都江東区常磐2-14-8横山ビル1階","東京都","江東区","常盤2丁目","14-8 横山ビル1階","","35.684826","139.797287","","","(03)5638-3021","","(03)3634-3121","","","","1350006","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800010","江東区","ボンズシップ居宅介護支援事業所","ボンズシップキョタクカイゴシエンジギョウショ","","居宅介護支援","131083","","東京都江東区新大橋1-4-4イマス新大橋ビル3階","東京都","江東区","新大橋1丁目","4-4 イマス新大橋ビル2階","","35.688545","139.793488","","","(03)5625-4585","","(03)6820-9577","","","","1350007","","","","月火水木金","利用可能曜日 月～金","","","","",""
"131083","131083800011","江東区","たけのこ介護サービス 深川","タケノコカイゴサービス フカガワ","","居宅介護支援","131083","","東京都江東区扇橋1-10-4第2MTあづま101室","東京都","江東区","扇橋1丁目","10-4 第2MTあづま101室","","35.682549","139.813644","","","(03)6666-1788","","(03)6666-3555","","","","1350011","","","","月火水木金","利用可能曜日 月～金","","","","",""
