指定年,所管,施設名称,施設名ヨミガナ（カタカナ）,住所,ホームページURL,開放可能日等（開館時間等）,受入れ可能人数,対象の場所,クーリングシェルターの指定,TOKYOクールシェアスポットの登録
令和6年,区市町村施設,男女共同参画推進センター,ダンジョキョウドウサンカクスイシンセンター,江東区扇橋3-22-2,https://www.city.koto.lg.jp/055201/shisetsuannai/kokyo/omonashisetsu/shisetsu/16794.html,9:00～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館）,40人,1F展示・交流コーナー2F情報資料室,〇,〇
令和6年,区市町村施設,江東区産業会館,コウトウクサンギョウカイカン,江東区東陽4-5-18,https://koto-sangyokaikan.jp/,8:30～21：45　休館日除く休館日：第2・4日曜日,10人,ロビー展示室,〇,〇
令和6年,区市町村施設,江東区文化センター,コウトウクブンカセンター,江東区東陽4-11-3,https://www.kcf.or.jp/koto/,9:00～21:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館）,100人,2F談話ロビー,〇,〇
令和6年,区市町村施設,森下文化センター,モリシタブンカセンター,江東区森下3-12-17,https://www.kcf.or.jp/morishita/,9:00～21:00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,10人,1階談話ロビー,〇,〇
令和6年,区市町村施設,森下文化センター,モリシタブンカセンター,江東区森下3-12-17,https://www.kcf.or.jp/morishita/,9:00～21:00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,10人,1階アートスペース,〇,〇
令和6年,区市町村施設,古石場文化センター,フルイシバブンカセンター,江東区古石場2-13-2,https://www.kcf.or.jp/furuishiba/,9:00～21:00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,50人,1F談話ロビー,〇,〇
令和6年,区市町村施設,豊洲文化センター,トヨスブンカセンター,江東区豊洲2-2-18,https://www.kcf.or.jp/toyosu/,9:00～21:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館）,20人,1階ギャラリー入口エリア（トイレ前スペース）,〇,〇
令和6年,区市町村施設,亀戸文化センター,カメイドブンカセンター,江東区亀戸２-１９-１,https://www.kcf.or.jp/kameido/,9:00～21:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館）,10人,1Fぷらっとカメリア,〇,〇
令和6年,区市町村施設,東大島文化センター,ヒガシオオジマブンカセンター,江東区大島8-33-9,https://www.kcf.or.jp/higashiojima/,9：00～21：00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,10人,1Fロビー,〇,〇
令和6年,区市町村施設,砂町文化センター,スナマチブンカセンター,江東区北砂5-1-7,https://www.kcf.or.jp/sunamachi/,9：00～21：00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,8人,2Fロビー,〇,〇
令和6年,区市町村施設,江東公会堂,コウトウコウカイドウ,江東区住吉2-28-36,https://www.kcf.or.jp/tiara/,9：00～22：00　休館日除く休館日：第1・3月曜日（祝日の場合は開館）,40人,B1Fロビー,〇,〇
令和6年,区市町村施設,深川江戸資料館,フカガワエドシリョウカン,江東区白河1-3-28,https://www.kcf.or.jp/fukagawa/,9:00～17:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館）、臨時休館日,約10人,1Fロビー,〇,〇
令和6年,区市町村施設,芭蕉記念館,バショウキネンカン,江東区常盤1-6-3,https://www.kcf.or.jp/basho/,9:00～17:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）、臨時休館日,約5人,1Fロビー,〇,〇
令和6年,区市町村施設,中川船番所資料館,ナカガワフナバンショシリョウカン,江東区大島9-1-15,https://www.kcf.or.jp/nakagawa/,9:00～17:00　休館日除く休館日：月曜日（祝日の場合は開館し翌日休館）、臨時休館日,6人（立ったままであれば20～30人程度可能）,1Fロビー,〇,〇
令和6年,区市町村施設,スポーツ会館,スポーツカイカン,江東区北砂1-2-9,https://www.koto-hsc.or.jp/sports_center1/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,15人,1F休憩所,〇,〇
令和6年,区市町村施設,深川スポーツセンター,フカガワスポーツセンター,江東区越中島1-2-18,https://www.koto-hsc.or.jp/sports_center2/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,15人,1Fロビー奥,〇,〇
令和6年,区市町村施設,亀戸スポーツセンター,カメイドスポーツセンター,江東区亀戸8-22-1,https://www.koto-hsc.or.jp/sports_center3/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,15人,1F自販機コーナー,〇,〇
令和6年,区市町村施設,有明スポーツセンター,アリアケスポーツセンター,江東区有明2-3-5,https://www.koto-hsc.or.jp/sports_center4/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,70人,7F展望回廊,〇,〇
令和6年,区市町村施設,東砂スポーツセンター,ヒガシスナスポーツセンター,江東区東砂4-24-1,https://www.koto-hsc.or.jp/sports_center5/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,30人,1Fギャラリー,〇,〇
令和6年,区市町村施設,深川北スポーツセンター,フカガワキタスポーツセンター,江東区平野3-2-20,https://www.koto-hsc.or.jp/sports_center6/,8:30～22:00　休館日除く休館日：第2・4月曜日（祝日の場合は開館し翌日休館）,15人,１Fロビー　談話コーナー,〇,〇
令和6年,区市町村施設,夢の島競技場,ユメノシマキョウギジョウ,江東区夢の島1-1-2,https://www.di-ksp.jp/facility/yumenoshima_k,9:00～21:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,3人,医務室,〇,〇
令和6年,区市町村施設,夢の島野球場,ユメノシマヤキュウジョウ,江東区夢の島1-1-1,https://www.di-ksp.jp/facility/yumenoshima_u,(4/24～10/20)8:00～21:00(10/21～10/23)8:00～16:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,10人,エントランス,〇,〇
令和6年,区市町村施設,夢の島スケートボードパーク,ユメノシマスケートボードパーク,江東区夢の島1-1,https://www.di-ksp.jp/facility/yumenoshima_s,9:00～20:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,2人,クラブハウス,〇,〇
令和6年,区市町村施設,潮見野球場・庭球場,シオミヤキュウジョウ・テイキュウジョウ,江東区潮見1-1-1,https://www.di-ksp.jp/facility/shiomi,(4/24～10/20)8:00～21:00(10/21～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,10人,会議室,〇,〇
令和6年,区市町村施設,亀戸野球場・庭球場,カメイドヤキュウジョウ・テイキュウジョウ,江東区亀戸2-6-50,https://www.di-ksp.jp/facility/kameido,(4/24～9/15)8:00～18:00(9/16～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,2人,管理人室,〇,〇
令和6年,区市町村施設,新砂運動場,シンスナウンドウジョウ,江東区新砂3-9-1,https://www.di-ksp.jp/facility/shinsuna,9:00～21:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,10人,エントランス,〇,〇
令和6年,区市町村施設,深川庭球場,フカガワテイキュウジョウ,江東区富岡1-17-9,https://www.di-ksp.jp/facility/fukagawa,(4/24～9/15)8:00～18:00(9/16～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,2人,エントランス,〇,〇
令和6年,区市町村施設,豊住庭球場,トヨズミテイキュウジョウ,江東区東陽6-1-13,https://www.di-ksp.jp/facility/toyozumi,(4/24～9/15)8:00～18:00(9/16～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,6人,エントランス,〇,〇
令和6年,区市町村施設,東砂庭球場,ヒガシスナテイキュウジョウ,江東区東砂1-2-13,https://www.di-ksp.jp/facility/higashisuna,(4/24～9/15)8:00～18:00(9/16～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,1人,エントランス,〇,〇
令和6年,区市町村施設,荒川・砂町庭球場,アラカワ・スナマチテイキュウジョウ,江東区東砂3-28-13,https://www.di-ksp.jp/facility/arakawa,(4/24～9/15)8:00～18:00(9/16～10/23)8:00～17:00　休場日除く休場日：第2・4月曜日（祝日の場合は開館し翌日休館）,4人,エントランス,〇,〇
令和6年,区市町村施設,豊洲シビックセンター,トヨスシビックセンター,江東区豊洲2-2-18,https://www.city.koto.lg.jp/060901/shisetsuannai/kokyo/omonashisetsu/shisetsu/93863.html,8：30～17：00（水曜日）8：30～19：00,10人,11F区民広場,〇,〇
令和6年,区市町村施設,江東区環境学習情報館 えこっくる江東,カンキョウガクシュウジョウホウカン エコックルコウトウ,江東区潮見1-29-7,https://www.city.koto.lg.jp/machizukuri/kankyo/ekokkuru/index.html,9：30～17：00　休館日除く休館日：月曜日（祝日の場合は開館し、以後直近の休日でない日が休館）,20人,1F常設展示室2F企画展示コーナー,〇,〇
令和6年,区市町村施設,江東図書館,コウトウトショカン,江東区南砂6-7-52,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,23人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,深川図書館,フカガワトショカン,江東区清澄3-3-39,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,9人,新聞・雑誌コーナー,〇,〇
